,A,B,C
0.0,1.0514817036388229,-0.0007391719331040262,-0.0005014343456141443
2.0408163265306123,0.7180603910373028,2.5994587969639293,371.2658317629809
4.081632653061225,0.6412471001222367,5.702484760438768,325.08088191442255
6.122448979591837,0.6574713770660321,6.944847267659475,296.17168515171517
8.16326530612245,0.772015248908396,9.147780399653714,291.2543752222754
10.204081632653061,0.7981985168623904,12.125293479063636,416.87261263344266
12.244897959183675,1.1470473578722076,15.880886721727647,518.2094704232263
14.285714285714286,1.4672230287204024,18.37731920693384,565.0969028576443
16.3265306122449,1.6098259876087788,28.27118800722095,711.3995220966127
18.367346938775512,2.296007785469611,32.784227689637206,947.8937044930649
20.408163265306122,2.770490398005311,32.004234470001144,1276.6655275709038
22.448979591836736,3.0386522436994468,40.65596898030422,1404.4046959966552
24.48979591836735,3.916670751731997,41.223748102144505,2075.092449688153
26.53061224489796,4.9722941151357425,68.3629088173346,2653.015040901017
28.571428571428573,7.042648989153299,102.29084826334068,2926.3929199164986
30.612244897959183,7.593289620201351,103.13957628962453,3715.6183510250316
32.6530612244898,8.118077725202522,130.20680643998267,4139.878900716609
34.69387755102041,9.794266938256031,152.75860156961303,4902.1214002688
36.734693877551024,11.395529919873947,195.7832376670892,6116.8965589481395
38.775510204081634,14.566595091563881,233.1969418246111,7494.187083444186
40.816326530612244,18.356225116664227,242.6563424456737,8449.695733970198
42.85714285714286,19.525381219398977,297.3489650623348,9234.585252097677
44.89795918367347,22.915738732479102,317.05076405711134,11775.678130371645
46.93877551020408,23.360222711726074,347.5077771442218,13699.524544703754
48.9795918367347,29.58378621759806,368.4092357658603,14073.770243541456
51.02040816326531,29.777228944636875,426.8499387291729,17828.388869221388
53.06122448979592,40.52892129978822,437.54951672735365,15609.52978602488
55.10204081632653,38.411484501477595,441.09239566360077,18323.293925209848
57.142857142857146,36.59728407769064,454.28023608495283,19213.04398407869
59.183673469387756,40.54129035792183,435.8435066548568,21669.295547535454
61.224489795918366,40.42649926980639,479.760888589486,18816.486553535582
63.26530612244898,44.4640272390315,440.81366680248226,20667.723128936526
65.3061224489796,39.29898461186242,391.3924236864104,22768.474964032877
67.34693877551021,45.37622168923033,469.46050614445653,25519.379812453582
69.38775510204081,47.386752350173545,365.10187357381307,22672.98652557499
71.42857142857143,52.834497974941165,432.81561976953003,29007.27777746695
73.46938775510205,51.53432349344037,417.7103027039259,22231.514772190574
75.51020408163265,48.227207457316084,459.97770661092017,18357.396846420404
77.55102040816327,44.40536872308759,422.99223564873864,21804.27744289499
79.59183673469389,48.216687561738915,463.60949102236134,20051.396787949478
81.63265306122449,45.21659711286137,507.51733606063584,24961.139209447927
83.6734693877551,42.67652165032054,464.6356823993852,17366.325029208863
85.71428571428572,44.663232278780015,554.4099486773142,25334.588468246802
87.75510204081633,45.02977465707024,428.1780014431005,21901.96813440324
89.79591836734694,43.29513858974934,400.21737455033497,20696.92688985536
91.83673469387756,45.820478543933255,432.29758128298374,21018.023727221516
93.87755102040816,48.19147335914437,466.0398294850566,21436.872789998197
95.91836734693878,45.359688017292115,532.86215800629,20067.00735469968
97.9591836734694,43.43450643460701,453.8475678554446,23707.91742964621
100.0,41.6439660830124,391.8827754346601,19574.329896613126
