,A,B,C,D
0.0,1.0039064593683944,1.9756543756685747,0.03995887393782388,0.009157124218709517
0.311111,0.5548194449963876,1.3835567993027418,0.32832086329378796,0.19430043806274622
0.666667,0.37582161870200387,1.0128601007617644,0.27232153851734475,0.3788393102976759
0.977778,0.30527898274220633,0.8642386005678689,0.24461841698896422,0.4962179995999131
1.333333,0.26907188948669164,0.6673043538322396,0.15198203701608595,0.6101468361504522
1.644444,0.16762792042639357,0.4891031140970733,0.21911133242840197,0.6290811705095922
2.0,0.15092690849117985,0.46473454550538085,0.17015764364493077,0.6960734648386827
2.311111,0.1741953668133981,0.36566907238420776,0.1678630757980922,0.7785075248461367
2.666667,0.11126079816887524,0.3417443607069582,0.11335747212655105,0.7373700182283978
2.977778,0.11391187553777159,0.3100829138467917,0.17196748636494782,0.7773220859303231
3.333333,0.08889350173648797,0.27799555606956555,0.14780695790887965,0.8867911544853083
3.644444,0.09496691198694751,0.2761865664725454,0.16011903017304427,0.8459841719520378
4.0,0.02589949223311081,0.2831184808635593,0.028530806458169425,0.8106639691897337
