,A,B,C,D,T
0.0,0.9994303388897916,2.026647103048538,-0.021487721673327697,-0.09285868577160514,298
0.311111,0.6577789677399619,1.4654421973968534,0.212230453796829,0.21794156044114876,298
0.666667,0.39335756117909415,1.0579208448725275,0.30458772861182914,0.4070748899759633,298
0.977778,0.29138267523063227,0.8177990582585782,0.19274527830474558,0.5665685998679433,298
1.333333,0.1329109679941731,0.5742180047399942,0.1244185805117018,0.6092709255426512,298
1.644444,0.2384659657510244,0.47315187964737326,0.01862213756236858,0.5396240573519788,298
2.0,0.26632181134583066,0.46495046307674176,0.17277601326152228,0.6772111341457682,298
2.311111,0.1741397625671821,0.3626794704182645,0.17755326750737027,0.6813058664326671,298
2.666667,0.16446996963704774,0.37987674642755165,0.054251453314915946,0.8459821016595757,298
2.977778,0.2218416244372497,0.2578219092134057,0.15745151686742737,0.81517248007543,298
3.333333,0.18339329689152667,0.23852426306784352,0.10631889785135124,0.7582646425090175,298
3.644444,0.14461644607517737,0.2318665366935298,0.06045827468566643,0.7854065830182718,298
4.0,0.05887229972390759,0.2644257500939147,0.08654470644306045,0.8579723313472896,298
